Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_274, -1.19087734843, 0.176465251235, 0.0167071372981, -1.27899800697, -0.875729724722, -1.61574969761, -1.25460265422, -1.23459575202, -1.21322177657, -0.875729724722
beta_275, 1.18566579785, 0.105593191584, 0.0104881062972, 0.999988998657, 1.27447369356, 0.999988998657, 1.1541377341, 1.21872947152, 1.27137177673, 1.2750930489
beta_276, 1.04529126155, 0.158823975999, 0.0158498175095, 0.731195854958, 1.12727722419, 0.731195854958, 1.11560167006, 1.1193150178, 1.12486865565, 1.12797900529
beta_277, 0.513028762598, 0.225597478225, 0.0219452118994, 0.117824646805, 0.631864822745, 0.117824646805, 0.600643054667, 0.613124806447, 0.623116257509, 0.632509493914
beta_278, -0.858928287523, 0.0505149659261, 0.00487336814089, -0.887478393143, -0.770161888457, -0.888292280461, -0.88076056185, -0.879485496373, -0.876109615527, -0.770161888457
beta_279, -0.545619890121, 0.142319940208, 0.013865490605, -0.626280773179, -0.244822000843, -0.630615695882, -0.614541739592, -0.606093318767, -0.586793799443, -0.244822000843
beta_280, -1.48875058355, 0.338129111037, 0.0324270035025, -1.6489459682, -0.935890538718, -1.65109547276, -1.63795818697, -1.630428527, -1.6208087851, -0.935890538718
beta_281, 1.14774102273, 0.0644215029383, 0.00574392730558, 1.11548287861, 1.26508118895, 1.11329205075, 1.12327173745, 1.13032608028, 1.13376612431, 1.26508118895
beta_282, -0.156486099919, 0.0997611186639, 0.00975493953473, -0.325310276234, -0.0942931353423, -0.325310276234, -0.124594958756, -0.110189568885, -0.107113248852, -0.0940981737022
beta_283, 0.831173058891, 0.241411674352, 0.023303956278, 0.419712774703, 0.954312510803, 0.419712774703, 0.917743469655, 0.936705973949, 0.942268842254, 0.958362519233
beta_284, -0.9523676989, 0.24385298761, 0.0227093294765, -1.09442730727, -0.614972163018, -1.09442730727, -1.07195085584, -1.02006488026, -0.982003750385, -0.614972163018
beta_285, -0.54661250712, 0.263855968254, 0.0244343068985, -0.718402735643, -0.0846122366921, -0.721672697444, -0.697814479426, -0.654316868417, -0.541677208996, -0.0846122366921
beta_286, 0.76381189197, 0.76851378319, 0.0771262148861, -0.788021108576, 1.20904539641, -0.788021108576, 1.08185687183, 1.11407451256, 1.1904549601, 1.20974835022
beta_287, 0.254607790955, 0.0357246748915, 0.00326409786729, 0.222687952906, 0.296616954033, 0.222440873761, 0.230932750491, 0.236442099577, 0.269662384333, 0.296616954033
beta_288, 2.22167964915, 0.328733170335, 0.029984679827, 1.81843198224, 2.35903393166, 1.81843198224, 2.32481474525, 2.33773694943, 2.34706287076, 2.36002566656
beta_289, 0.0467264605628, 0.137929867839, 0.0133204610558, -0.0274255803152, 0.331543524547, -0.0286725849766, -0.0176158455858, -0.0108824899639, -0.00452680039728, 0.331543524547
beta_290, -1.72599115975, 0.328078038188, 0.0328951861599, -1.92838182142, -1.03292822645, -1.92974779954, -1.9034551416, -1.86765951666, -1.84294592664, -1.03292822645
beta_291, -1.18756485525, 0.393840243794, 0.0392546556957, -1.40935973114, -0.348645157425, -1.41292562795, -1.37643868999, -1.37309788195, -1.36189100416, -0.348645157425
beta_292, -0.709175880252, 0.0510750667397, 0.00480210699175, -0.743983882402, -0.613099348907, -0.743983882402, -0.736561281725, -0.727844973838, -0.720373191878, -0.613099348907
beta_293, 1.69261510085, 0.122814354041, 0.0113120070148, 1.52146400889, 1.74572532341, 1.52146400889, 1.70123568549, 1.71723115605, 1.72860829303, 1.88806596166
beta_294, -0.804387245933, 0.16251002301, 0.0161365694369, -1.14388120662, -0.709572838157, -1.14388120662, -0.748603913121, -0.730170982831, -0.72721215577, -0.706318634385
beta_295, -0.791003156841, 0.0757993403024, 0.00646468874105, -0.825788219586, -0.702467334486, -0.878669748319, -0.819032748206, -0.784617267511, -0.756940969547, -0.705654466207
beta_296, 1.77973665153, 0.294274421264, 0.0294308666143, 1.18575171149, 1.92699399879, 1.18575171149, 1.91032625821, 1.91780847919, 1.92569299547, 1.92770675328
beta_297, -1.4174897814, 0.0729884509916, 0.00646831462763, -1.53009612628, -1.37427670377, -1.53009612628, -1.4098979352, -1.39794336117, -1.38514492333, -1.37266248051
beta_298, -2.94795836011, 0.1404087181, 0.0122757772605, -3.00375063305, -2.8303584064, -3.006974325, -2.98196511841, -2.9730359011, -2.9558481874, -2.8303584064
beta_299, 0.0395380843261, 0.0947186141191, 0.00952108424252, -0.013521378687, 0.236757806644, -0.0139303235587, -0.0106242405512, -0.0037437592446, 0.00227287517393, 0.236757806644
beta_300, -2.07629475495, 0.394604048399, 0.039007509961, -2.86467129892, -1.79192854448, -2.86467129892, -1.96853081829, -1.92600661261, -1.82487224511, -1.78691685391
beta_301, 0.38214896303, 0.199658013432, 0.01985779556, 0.261137933914, 0.790290250878, 0.254096533759, 0.283339099747, 0.295255168844, 0.317259798434, 0.790290250878
beta_302, 1.57361984752, 0.13426722658, 0.013110375107, 1.34392077335, 1.65349873787, 1.34392077335, 1.6147549051, 1.62240172637, 1.6393331709, 1.65349873787
beta_303, -1.63154566703, 0.237706265732, 0.0231618490412, -2.12433114777, -1.50607278128, -2.12433114777, -1.54744862417, -1.52449329136, -1.51410864235, -1.50607278128
beta_304, 1.02064417689, 0.275889468158, 0.0275696036031, 0.444867459294, 1.18428501318, 0.444867459294, 1.13387443288, 1.14485156205, 1.16328237506, 1.18556703633
beta_305, 0.123935250831, 0.112773288588, 0.0109383571386, -0.103828539001, 0.183106829326, -0.103828539001, 0.164947832876, 0.173563711098, 0.180145287385, 0.184565904014
beta_306, -1.39590166154, 0.323877298088, 0.0300522454293, -1.55183474013, -0.964856358323, -1.5534438672, -1.53324968703, -1.51890676979, -1.45969009525, -0.964856358323
beta_307, 1.17038034204, 0.229441769424, 0.0230915781297, 0.698884949657, 1.31220535359, 0.698884949657, 1.2303141886, 1.27995347211, 1.30323862162, 1.31475540814
beta_308, 0.882271753837, 0.0552007614394, 0.00475990511228, 0.853775211672, 0.962021549784, 0.851887957218, 0.861595440476, 0.87456811877, 0.883838887554, 0.962021549784
beta_309, -0.369004447727, 0.277020821393, 0.0272522721823, -0.899675682649, -0.151012580153, -0.899675682649, -0.311181691002, -0.281993594583, -0.222789696499, -0.149597220314
beta_310, -0.358255783637, 0.0170671731208, 0.00152915253541, -0.373485228155, -0.346352598223, -0.37338401128, -0.368769148891, -0.360269639052, -0.355312015869, -0.315011007239
beta_311, -0.458997730224, 0.0554458019404, 0.00542898373927, -0.572467102116, -0.421874638456, -0.572467102116, -0.447488961644, -0.443111645247, -0.424815327592, -0.420497504719
beta_312, -0.691215350998, 0.28393783154, 0.0280916710081, -0.862791162911, -0.160260167408, -0.863739820085, -0.839592131673, -0.807705127456, -0.795034685343, -0.160260167408
beta_313, -0.167287849285, 0.0371383134317, 0.00372438029863, -0.189639701555, -0.0896187605136, -0.189639701555, -0.188831833743, -0.184405730519, -0.179047541229, -0.0896187605136
beta_314, 0.0035668311232, 0.000295941490291, 2.72567821849e-05, 0.00344115163835, 0.00389692723782, 0.00308932550612, 0.0035075779237, 0.00352094243537, 0.00358726207326, 0.00389692723782
beta_315, -0.635560458564, 0.0422618441563, 0.00387436944484, -0.715593129971, -0.612601190469, -0.715593129971, -0.627000785278, -0.62295294304, -0.620230668534, -0.585765627799
beta_316, -0.6839333558, 0.159487861436, 0.0154550440225, -0.766932164801, -0.410962008752, -0.768282197872, -0.757129752499, -0.751325395253, -0.748125413106, -0.410962008752
beta_317, 1.58410874306, 0.59046734242, 0.0588309280362, 1.26958357107, 2.8576506871, 1.26678710124, 1.28716795014, 1.31598675664, 1.33452396125, 2.8576506871
beta_318, -1.04540887828, 0.125176558585, 0.0124725298747, -1.12469410677, -0.80162957184, -1.12556072452, -1.11717524577, -1.10768923362, -1.08007938172, -0.80162957184
beta_319, -0.825281169063, 0.040792729087, 0.00371049067444, -0.862923164096, -0.781487935466, -0.862880654526, -0.85098565488, -0.839585145635, -0.817765244519, -0.731684487631
beta_320, 0.260652640995, 0.066387504474, 0.00589524141568, 0.142363574184, 0.301063509359, 0.142363574184, 0.261570462852, 0.275549682815, 0.291872368518, 0.303722866756
beta_321, -0.11810681283, 0.203170459611, 0.0203535643331, -0.539579633669, -0.000332810531138, -0.539579633669, -0.0362670202893, -0.0280165984978, -0.0113169688336, -0.000332810531138
beta_322, -1.04809211919, 0.196261235799, 0.0196660490364, -1.16656860243, -0.654180398111, -1.1703289758, -1.15368081869, -1.14632979189, -1.12785860838, -0.654180398111
beta_323, 0.179649160202, 0.0226393163138, 0.00226336818473, 0.132815776402, 0.192960250019, 0.132815776402, 0.188574856714, 0.190233423514, 0.191651223155, 0.193136521436
beta_324, 0.0190038579634, 0.200298221111, 0.0184294564991, -0.107652920858, 0.307864532264, -0.112030977612, -0.0924432841052, -0.0546216695241, 0.00639832187334, 0.307864532264
beta_325, -1.4388352469, 0.15513603903, 0.0155119519601, -1.55130525746, -1.13789778329, -1.5523218376, -1.54418405102, -1.50017663395, -1.47849681226, -1.13789778329
beta_326, 0.745646498223, 0.0314173208522, 0.00286820048002, 0.694261418456, 0.772282320561, 0.694624032588, 0.719437137435, 0.749239927859, 0.763635396574, 0.810439406672
