,,,Salary,Salary,Salary,Salary,Salary,Salary,,
217,Andre Drummond,DET,$3272091,,,,,,1st Round Pick,$3272091
218,Randy Foye,OKC,$3270000,,,,,,Non Bird Rights,$3270000
219,Ben McLemore,SAC,$3156600,$4008882,,,,,1st Round Pick,$7165482
220,Julius Randle,LAL,$3132240,$3267120,$4149242,,,,1st Round Pick,$6399360
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
221,Emmanuel Mudiay,DEN,$3102240,$3241800,$3381480,$4294480,,,1st round pick,$6344040
222,Austin Rivers,LAC,$3100000,$3300000,,,,,Non Bird Rights,$3100000
223,Meyers Leonard,POR,$3075880,,,,,,1st Round Pick,$3075880
224,Norris Cole,NOP,$3036927,,,,,,Qualifying Offer,$3036927
225,Jeremy Lamb,CHO,$3034356,$7000000,$7000000,$7000000,,,Rookie scale extension,$24034356
226,Tibor Pleiss,UTA,$3000000,$3000000,$3000000,,,,Cap Space,$6000000
227,Bismack Biyombo,TOR,$3000000,$3000000,,,,,Mini MLE,$6000000
228,Luis Scola,TOR,$3000000,,,,,,,$3000000
229,Omri Casspi,SAC,$3000000,$3000000,,,,,Room Exception,$6000000
230,Furkan Aldemir,PHI,$3000000,,,,,,,$3000000
231,Dante Cunningham,NOP,$3000000,$3000000,$3000000,,,,MLE,$6000000
232,Jerryd Bayless,MIL,$3000000,,,,,,Cap Space,$3000000
233,Brandon Bass,LAL,$3000000,$3000000,,,,,Cap Space,$3000000
234,Anthony Tolliver,DET,$3000000,,,,,,Cap Space,$3000000
235,D.J. Augustin,DEN,$3000000,,,,,,,$3000000
236,John Henson,MIL,$2943221,$9500000,$10500000,$11500000,$12500000,,1st Round Pick,$46943221
237,Maurice Harkless,POR,$2894059,,,,,,1st Round Pick,$2894059
238,Kentavious Caldwell-Pope,DET,$2891760,$3678319,,,,,1st Round Pick,$6570079
239,Kirk Hinrich,ATL,$2870000,,,,,,Room Exception,$2870000
240,Nik Stauskas,PHI,$2869440,$2993040,$3807146,,,,1st Round Pick,$5862480
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
241,Mike Miller,POR,$2854940,,,,,,,$4354127
242,Brian Roberts,POR,$2854940,,,,,,Room Exception,$2854940
243,Udonis Haslem,MIA,$2854940,,,,,,MLE,$2854940
244,Stanley Johnson,DET,$2841960,$2969880,$3097800,$3940402,,,1st round pick,$5811840
245,Manu Ginobili,SAS,$2814000,$2940630,,,,,Room Exception,$2814000
246,Darrell Arthur,DEN,$2814000,$2940630,,,,,Room Exception,$2814000
247,Sonny Weems,PHI,$2800000,$2900000,,,,,,$2800000
248,Kevin Seraphin,NYK,$2800000,,,,,,Room Exception,$2800000
249,Trey Burke,UTA,$2658240,$3386598,,,,,1st Round Pick,$6044838
250,Noah Vonleh,POR,$2637720,$2751360,$3505233,,,,1st Round Pick,$5389080
