{\rtf1\ansi\ansicpg1252\cocoartf1404\cocoasubrtf130
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
52,,2016-02-09,39-290,SAS,@,MIA,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play\
53,38,2016-02-10,39-291,SAS,@,ORL,W (+2),1,18:19,2,9,.222,0,0,,1,1,1.000,2,5,7,5,0,3,1,1,5,6.6,+4,26.8\
54,39,2016-02-18,39-299,SAS,@,LAC,L (-19),1,20:29,1,6,.167,0,0,,0,0,,0,6,6,1,1,0,3,2,2,-2.1,-18,11.5\
55,40,2016-02-19,39-300,SAS,@,LAL,W (+6),1,27:55,4,9,.444,0,0,,4,5,.800,5,8,13,1,0,3,0,1,12,15.2,+6,37.3\
56,41,2016-02-21,39-302,SAS,@,PHO,W (+7),1,16:54,1,5,.200,0,0,,4,6,.667,0,3,3,2,1,1,0,2,6,5.3,+1,16.8\
57,42,2016-02-24,39-305,SAS,@,SAC,W (+16),1,11:48,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-1.6,-8,2.5\
58,43,2016-02-25,39-306,SAS,@,UTA,W (+18),1,31:42,7,11,.636,0,0,,0,0,,3,8,11,2,1,1,3,3,14,12.5,+12,34.8\
59,44,2016-02-27,39-308,SAS,@,HOU,W (+10),1,24:52,3,7,.429,0,0,,0,0,,1,5,6,6,0,1,2,4,6,5.8,+18,23.5\
60,45,2016-03-02,39-312,SAS,,DET,W (+16),1,20:14,6,9,.667,0,0,,0,1,.000,3,5,8,1,1,0,1,1,12,11.6,+17,25.0\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
61,46,2016-03-03,39-313,SAS,@,NOP,W (+8),1,21:48,2,6,.333,0,0,,3,4,.750,2,3,5,2,0,2,1,1,7,6.9,+14,19.8\
62,,2016-03-05,39-315,SAS,,SAC,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
63,47,2016-03-07,39-317,SAS,@,IND,L (-8),1,27:37,3,9,.333,0,0,,3,3,1.000,6,8,14,4,1,2,3,3,9,11.5,-3,37.0\
64,,2016-03-08,39-318,SAS,@,MIN,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
65,48,2016-03-10,39-320,SAS,,CHI,W (+8),1,28:06,3,7,.429,0,0,,1,3,.333,1,2,3,4,2,0,0,1,7,8.2,+3,20.8\
66,49,2016-03-12,39-322,SAS,,OKC,W (+8),1,22:30,5,7,.714,0,0,,1,2,.500,3,3,6,1,2,0,0,3,11,12.2,-5,24.0\
67,50,2016-03-15,39-325,SAS,,LAC,W (+21),1,22:29,3,5,.600,0,0,,0,0,,4,3,7,2,0,0,0,2,6,8.0,0,17.8\
68,51,2016-03-17,39-327,SAS,,POR,W (+8),1,21:00,5,6,.833,0,0,,1,1,1.000,0,7,7,0,0,2,0,2,11,11.5,+23,23.8\
69,52,2016-03-19,39-329,SAS,,GSW,W (+8),0,8:00,0,1,.000,0,0,,1,2,.500,2,0,2,0,0,0,2,1,1,-1.1,-3,2.5\
70,53,2016-03-21,39-331,SAS,@,CHO,L (-3),1,30:48,7,11,.636,0,0,,2,5,.400,3,7,10,2,2,4,1,2,16,18.5,+1,44.5\
71,54,2016-03-23,39-333,SAS,,MIA,W (+24),1,24:24,1,2,.500,0,0,,2,2,1.000,1,8,9,4,1,0,2,0,4,7.9,+24,22.3\
72,55,2016-03-25,39-335,SAS,,MEM,W (+6),1,30:57,6,8,.750,0,0,,0,1,.000,2,6,8,7,1,0,1,0,12,16.5,-1,34.0\
73,,2016-03-26,39-336,SAS,@,OKC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
74,,2016-03-28,39-338,SAS,@,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
75,56,2016-03-30,39-340,SAS,,NOP,W (+8),1,26:42,3,10,.300,0,0,,2,2,1.000,1,8,9,1,0,3,0,1,8,7.7,+16,26.8\
76,57,2016-04-02,39-343,SAS,,TOR,W (+7),1,28:44,2,7,.286,0,0,,1,1,1.000,5,6,11,0,1,3,1,0,5,8.3,+7,26.3\
77,58,2016-04-05,39-346,SAS,@,UTA,W (+2),1,23:38,0,3,.000,0,0,,3,4,.750,0,2,2,2,0,2,1,2,3,2.1,-10,12.0\
78,59,2016-04-07,39-348,SAS,@,GSW,L (-11),1,19:11,2,6,.333,0,0,,0,0,,1,2,3,1,0,0,2,0,4,0.6,-13,8.3\
79,60,2016-04-08,39-349,SAS,@,DEN,L (-4),1,34:27,9,15,.600,0,0,,3,6,.500,2,5,7,2,0,1,2,1,21,15.5,-3,33.8\
80,,2016-04-10,39-351,SAS,,GSW,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
81,61,2016-04-12,39-353,SAS,,OKC,W (+4),1,34:03,5,14,.357,0,0,,2,4,.500,4,5,9,3,0,1,1,2,12,8.7,+2,29.3\
82,,2016-04-13,39-354,SAS,@,DAL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive}
