Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1971-01-09,23-268,MIL,,DET,W (+18),,,10,,,,,,7,8,.875,,,,,,,,,27,\
42,42,1971-01-10,23-269,MIL,,BAL,W (+52),,,13,,,,,,4,5,.800,,,,,,,,,30,\
43,43,1971-01-15,23-274,MIL,,CIN,W (+19),,,14,,,,,,7,10,.700,,,,,,,,,35,\
44,44,1971-01-16,23-275,MIL,@,CHI,W (+20),,,10,,,,,,5,5,1.000,,,,,,,,,25,\
45,45,1971-01-17,23-276,MIL,,BOS,W (+7),,,17,,,,,,10,15,.667,,,,,,,,,44,\
46,46,1971-01-20,23-279,MIL,@,BAL,W (+4),,,17,,,,,,5,6,.833,,,,,,,,,39,\
47,47,1971-01-22,23-281,MIL,,ATL,L (-7),,,8,,,,,,0,1,.000,,,,,,,,,16,\
48,48,1971-01-23,23-282,MIL,,POR,W (+25),,,20,,,,,,4,9,.444,,,,,,,,,44,\
49,49,1971-01-24,23-283,MIL,@,ATL,W (+22),,,9,,,,,,6,7,.857,,,,,,,,,24,\
50,50,1971-01-26,23-285,MIL,@,NYK,L (-9),,,11,,,,,,7,8,.875,,,,,,,,,29,\
51,51,1971-01-27,23-286,MIL,@,BOS,W (+3),,,22,,,,,,9,14,.643,,,,,,,,,53,\
52,52,1971-01-29,23-288,MIL,@,PHI,W (+24),,,12,,,,,,7,11,.636,,,,,,,,,31,\
53,53,1971-01-31,23-290,MIL,,DET,W (+27),,,12,,,,,,4,6,.667,,,,,,,,,28,\
54,54,1971-02-02,23-292,MIL,@,POR,L (-12),,,13,,,,,,12,17,.706,,,,,,,,,38,\
55,55,1971-02-03,23-293,MIL,@,SDR,W (+7),,,10,,,,,,5,9,.556,,,,,,,,,25,\
56,56,1971-02-05,23-295,MIL,@,LAL,L (-23),,,10,,,,,,7,8,.875,,,,,,,,,27,\
57,57,1971-02-06,23-296,MIL,@,SFW,W (+26),,,8,,,,,,1,1,1.000,,,,,,,,,17,\
58,58,1971-02-08,23-298,MIL,,PHO,W (+24),,,15,,,,,,9,10,.900,,,,,,,,,39,\
59,59,1971-02-09,23-299,MIL,@,DET,W (+1),,,13,,,,,,12,12,1.000,,,,,,,,,38,\
60,60,1971-02-11,23-301,MIL,,LAL,W (+34),,,13,,,,,,5,6,.833,,,,,,,,,31,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1971-02-13,23-303,MIL,,CHI,W (+7),,,15,,,,,,5,8,.625,,,,,,,,,35,\
62,62,1971-02-14,23-304,MIL,@,ATL,W (+36),,,10,,,,,,3,5,.600,,,,,,,,,23,\
63,63,1971-02-16,23-306,MIL,@,BUF,W (+32),,,18,,,,,,2,4,.500,,,,,,,,,38,\
64,64,1971-02-17,23-307,MIL,,PHI,W (+5),,,15,,,,,,11,16,.688,,,,,,,,6,41,\
65,65,1971-02-19,23-309,MIL,@,SEA,W (+16),,,18,,,,,,6,9,.667,,,,,,,,,42,\
66,66,1971-02-20,23-310,MIL,@,SFW,W (+8),,,12,,,,,,1,3,.333,,,,,,,,,25,\
67,67,1971-02-21,23-311,MIL,@,PHO,W (+28),,,12,,,,,,12,17,.706,,,,,,,,,36,\
68,68,1971-02-23,23-313,MIL,,SFW,W (+11),,,12,,,,,,1,3,.333,,,,,,,,,25,\
69,69,1971-02-24,23-314,MIL,,SDR,W (+35),,,8,,,,,,4,5,.800,,,,,,,,,20,\
70,70,1971-02-26,23-316,MIL,,CIN,W (+24),,,9,,,,,,6,8,.750,,,,,,,,,24,\
71,71,1971-02-28,23-318,MIL,@,BOS,W (+12),,,9,,,,,,8,8,1.000,,,,,,,,,26,\
72,72,1971-03-01,23-319,MIL,,PHI,W (+24),,,13,,,,,,3,6,.500,,,,,,,,,29,\
73,73,1971-03-03,23-321,MIL,,LAL,W (+15),,,7,,,,,,1,3,.333,,,,,,,,,15,\
74,74,1971-03-04,23-322,MIL,,BUF,W (+3),,,11,,,,,,3,3,1.000,,,,,,,,,25,\
75,75,1971-03-05,23-323,MIL,@,DET,W (+13),,,14,,,,,,6,8,.750,,,,,,,,,34,\
76,76,1971-03-08,23-326,MIL,,SEA,W (+5),,,13,,,,,,6,9,.667,,,,,,,,,32,\
77,77,1971-03-09,23-327,MIL,@,CHI,L (-7),,,18,,,,,,3,3,1.000,,,,,,,,,39,\
78,78,1971-03-13,23-331,MIL,@,NYK,L (-5),,,16,,,,,,2,6,.333,,,,,,,,,34,\
79,79,1971-03-14,23-332,MIL,,PHO,L (-12),,,12,,,,,,14,16,.875,,,,,,,,,38,\
80,80,1971-03-16,23-334,MIL,@,PHO,W (+8),,,17,,,,,,14,20,.700,,,,,,,,,48,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1971-03-18,23-336,MIL,@,SEA,L (-1),,,15,,,,,,9,10,.900,,,,,,,,,39,\
82,82,1971-03-19,23-337,MIL,@,SDR,L (-12),,,10,,,,,,2,7,.286,,,,,,,,,22,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1971-10-14,24-181,MIL,@,PHO,W (+13),,,13,,,,,,5,8,.625,,,,,,,,,31,\
2,2,1971-10-16,24-183,MIL,@,SEA,W (+7),,,12,,,,,,1,6,.167,,,,,,,,,25,\
3,3,1971-10-17,24-184,MIL,@,POR,W (+33),,,10,,,,,,5,10,.500,,,,,,,,,25,\
4,4,1971-10-19,24-186,MIL,,CLE,W (+34),,,11,,,,,,2,5,.400,,,,,,,,,24,\
5,5,1971-10-22,24-189,MIL,,BUF,W (+19),,,18,,,,,,2,6,.333,,,,,,,,,38,\
6,6,1971-10-23,24-190,MIL,@,PHI,W (+22),,,16,,,,,,8,12,.667,,,,,,,,,40,\
7,7,1971-10-26,24-193,MIL,,BAL,W (+30),,,10,,,,,,4,7,.571,,,,,,,,,24,\
8,8,1971-10-29,24-196,MIL,@,BOS,L (-11),,,18,,,,,,7,10,.700,,,,,,,,,43,\
9,9,1971-10-31,24-198,MIL,@,CLE,W (+16),,,14,,,,,,7,13,.538,,,,,,,,,35,\
10,10,1971-11-05,24-203,MIL,@,CHI,W (+2),,,12,,,,,,9,11,.818,,,,,,,,,33,\
11,11,1971-11-06,24-204,MIL,,DET,W (+28),,,11,,,,,,7,9,.778,,,,,,,,,29,\
12,12,1971-11-09,24-207,MIL,,PHO,W (+5),,,17,,,,,,10,11,.909,,,,,,,,,44,\
13,13,1971-11-10,24-208,MIL,@,ATL,W (+6),,,13,,,,,,7,9,.778,,,,,,,,,33,\
14,14,1971-11-12,24-210,MIL,,HOU,W (+9),,,14,,,,,,3,7,.429,,,,,,,,,31,\
15,15,1971-11-13,24-211,MIL,@,BUF,W (+21),,,11,,,,,,7,9,.778,,,,,,,,,29,\
16,16,1971-11-14,24-212,MIL,,PHI,W (+11),,,15,,,,,,16,22,.727,,,,,,,,,46,\
17,17,1971-11-16,24-214,MIL,@,POR,W (+20),,,11,,,,,,11,14,.786,,,,,,,,,33,\
18,18,1971-11-19,24-217,MIL,@,SEA,W (+1),,,12,,,,,,12,17,.706,,,,,,,,,36,\
19,19,1971-11-20,24-218,MIL,@,GSW,L (-7),,,7,,,,,,3,3,1.000,,,,,,,,,17,\
20,20,1971-11-21,24-219,MIL,@,LAL,L (-7),,,17,,,,,,5,6,.833,,,,,,,,,39,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1971-11-23,24-221,MIL,@,DET,W (+8),,,15,,,,,,4,8,.500,,,,,,,,,34,\
22,22,1971-11-24,24-222,MIL,,ATL,W (+34),,,13,,,,,,7,12,.583,,,,,,,,,33,\
23,23,1971-11-26,24-224,MIL,,POR,W (+15),,,15,,,,,,3,4,.750,,,,,,,,,33,\
24,24,1971-11-27,24-225,MIL,@,CIN,W (+33),,,7,,,,,,6,11,.545,,,,,,,,,20,\
25,25,1971-11-30,24-228,MIL,,GSW,L (-3),,,13,,,,,,4,7,.571,,,,,,,,,30,\
26,26,1971-12-04,24-232,MIL,,CHI,W (+3),,,15,,,,,,11,16,.688,,,,,,,,,41,\
27,27,1971-12-07,24-235,MIL,,SEA,W (+33),,,14,,,,,,1,4,.250,,,,,,,,,29,\
28,28,1971-12-10,24-238,MIL,,BOS,W (+16),,,23,,,,,,9,11,.818,,,,,,,,,55,\
29,29,1971-12-11,24-239,MIL,@,BAL,W (+6),,,16,,,,,,7,11,.636,,,,,,,,,39,\
30,30,1971-12-14,24-242,MIL,,HOU,W (+8),,,11,,,,,,4,5,.800,,,,,,,,,26,\
31,31,1971-12-15,24-243,MIL,,BUF,W (+14),,,12,,,,,,11,16,.688,,,,,,,,,35,\
32,32,1971-12-17,24-245,MIL,,SEA,W (+7),,,18,,,,,,8,11,.727,,,,,,,,,44,\
33,33,1971-12-19,24-247,MIL,,BAL,W (+15),,,15,,,,,,4,4,1.000,,,,,,,,,34,\
34,34,1971-12-22,24-250,MIL,,BOS,L (-6),,,12,,,,,,6,9,.667,,,,,,,,,30,\
35,35,1971-12-25,24-253,MIL,@,DET,L (-2),,,18,,,,,,2,5,.400,,,,,,,,,38,\
36,36,1971-12-26,24-254,MIL,,ATL,W (+22),,,9,,,,,,6,9,.667,,,,,,,,,24,\
37,37,1971-12-28,24-256,MIL,@,CHI,L (-11),,,14,,,,,,7,17,.412,,,,,,,,,35,\
38,38,1971-12-29,24-257,MIL,,POR,W (+39),,,15,,,,,,2,4,.500,,,,,,,,,32,\
