Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
20,20,1978-01-11,30-270,LAL,@,KCK,L (-8),,,10,,,,,,8,10,.800,,,,,,,,,28,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1978-01-14,30-273,LAL,@,DEN,L (-11),,,11,,,,,,4,4,1.000,,,,,,,,,26,\
22,22,1978-01-17,30-276,LAL,,NYK,W (+13),,,12,,,,,,3,4,.750,,,,,,,,,27,\
23,23,1978-01-20,30-279,LAL,,WSB,W (+22),,,11,,,,,,1,2,.500,,,,,,,,,23,\
24,24,1978-01-22,30-281,LAL,,HOU,W (+5),,,10,,,,,,2,2,1.000,,,,,,,,,22,\
25,25,1978-01-24,30-283,LAL,,PHI,W (+15),,,13,,,,,,13,14,.929,,,,,,,,,39,\
26,26,1978-01-27,30-286,LAL,,MIL,W (+17),,,12,,,,,,2,2,1.000,,,,,,,,,26,\
27,27,1978-01-29,30-288,LAL,@,WSB,L (-7),,,13,,,,,,5,5,1.000,,,,,,,,,31,\
28,28,1978-01-31,30-290,LAL,@,CLE,W (+9),,,14,,,,,,3,6,.500,,,,,,,,,31,\
29,29,1978-02-01,30-291,LAL,@,BOS,L (-3),,,12,,,,,,6,8,.750,,,,,,,,,30,\
30,30,1978-02-03,30-293,LAL,@,NJN,W (+6),,,16,,,,,,5,7,.714,,,,,,,,,37,\
31,31,1978-02-07,30-297,LAL,@,BUF,W (+27),,,5,,,,,,8,10,.800,,,,,,,,,18,\
32,32,1978-02-08,30-298,LAL,@,DET,W (+10),,,9,,,,,,4,4,1.000,,,,,,,,,22,\
33,33,1978-02-10,30-300,LAL,,GSW,W (+28),,,9,,,,,,4,5,.800,,,,,,,,,22,\
34,34,1978-02-12,30-302,LAL,,ATL,L (-13),,,15,,,,,,9,12,.750,,,,,,,,,39,\
35,35,1978-02-14,30-304,LAL,,SAS,W (+14),,,9,,,,,,2,2,1.000,,,,,,,,,20,\
36,36,1978-02-17,30-307,LAL,,BOS,W (+8),,,12,,,,,,3,4,.750,,,,,,,,,27,\
37,37,1978-02-19,30-309,LAL,@,GSW,W (+22),,,9,,,,,,4,4,1.000,,,,,,,,,22,\
38,38,1978-02-21,30-311,LAL,@,CHI,W (+2),,,7,,,,,,5,5,1.000,,,,,,,,,19,\
39,39,1978-02-22,30-312,LAL,@,KCK,L (-5),,,9,,,,,,5,7,.714,,,,,,,,,23,\
40,40,1978-02-24,30-314,LAL,,DEN,W (+10),,,7,,,,,,3,5,.600,,,,,,,,,17,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1978-02-26,30-316,LAL,,DET,L (-3),,,12,,,,,,6,9,.667,,,,,,,,,30,\
42,42,1978-03-03,30-321,LAL,,PHI,W (+1),,,7,,,,,,7,8,.875,,,,,,,,,21,\
43,43,1978-03-05,30-323,LAL,,CLE,W (+11),,,9,,,,,,8,8,1.000,,,,,,,,,26,\
44,44,1978-03-10,30-328,LAL,,CHI,W (+6),,,11,,,,,,2,6,.333,,,,,,,,,24,\
45,45,1978-03-11,30-329,LAL,@,PHO,L (-6),,,11,,,,,,4,7,.571,,,,,,,,,26,\
46,46,1978-03-12,30-330,LAL,,PHO,W (+16),,,14,,,,,,4,5,.800,,,,,,,,,32,\
47,47,1978-03-14,30-332,LAL,@,NYK,W (+18),,,11,,,,,,0,0,,,,,,,,,,22,\
48,48,1978-03-15,30-333,LAL,@,PHI,L (-20),,,13,,,,,,0,0,,,,,,,,,,26,\
49,49,1978-03-17,30-335,LAL,,SEA,L (-7),,,13,,,,,,5,5,1.000,,,,,,,,,31,\
50,50,1978-03-19,30-337,LAL,,ATL,W (+14),,,12,,,,,,2,2,1.000,,,,,,,,,26,\
51,51,1978-03-21,30-339,LAL,@,SAS,L (-4),,,13,,,,,,6,7,.857,,,,,,,,,32,\
52,52,1978-03-22,30-340,LAL,@,HOU,W (+18),,,13,,,,,,5,6,.833,,,,,,,,,31,\
53,53,1978-03-24,30-342,LAL,,BUF,W (+5),,,12,,,,,,6,7,.857,,,,,,,,,30,\
54,54,1978-03-26,30-344,LAL,,IND,W (+11),,,9,,,,,,4,5,.800,,,,,,,,,22,\
55,55,1978-03-28,30-346,LAL,@,ATL,L (-1),,,8,,,,,,4,7,.571,,,,,,,,,20,\
56,56,1978-03-29,30-347,LAL,@,NOJ,W (+5),,,15,,,,,,4,6,.667,,,,,,,,,34,\
57,57,1978-03-31,30-349,LAL,,POR,L (-2),,,12,,,,,,5,6,.833,,,,,,,,,29,\
58,58,1978-04-02,30-351,LAL,,KCK,W (+6),,,15,,,,,,1,2,.500,,,,,,,,,31,\
59,59,1978-04-04,30-353,LAL,@,MIL,W (+1),,,11,,,,,,5,8,.625,,,,,,,,,27,\
60,60,1978-04-05,30-354,LAL,@,WSB,L (-6),,,9,,,,,,3,4,.750,,,,,,,,,21,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1978-04-07,30-356,LAL,,NJN,W (+8),,,13,,,,,,0,0,,,,,,,,,1,26,\
62,62,1978-04-09,30-358,LAL,@,POR,L (-15),,,8,,,,,,6,7,.857,,,,,,,,,22,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1978-10-13,31-180,LAL,@,PHI,L (-8),,,3,,,,,,8,13,.615,,,,,,,,,14,\
2,2,1978-10-14,31-181,LAL,@,NJN,L (-2),,,5,,,,,,2,2,1.000,,,,,,,,,12,\
3,3,1978-10-17,31-184,LAL,@,CLE,L (-2),,,9,,,,,,5,7,.714,,,,,,,,,23,\
4,4,1978-10-22,31-189,LAL,,SAS,W (+13),,,13,,,,,,1,1,1.000,,,,,,,,,27,\
5,5,1978-10-24,31-191,LAL,@,SDC,L (-1),,,12,,,,,,5,11,.455,,,,,,,,,29,\
6,6,1978-10-27,31-194,LAL,,SDC,W (+12),,,11,,,,,,4,6,.667,,,,,,,,,26,\
7,7,1978-10-29,31-196,LAL,,WSB,W (+16),,,8,,,,,,4,5,.800,,,,,,,,,20,\
8,8,1978-10-31,31-198,LAL,,DEN,W (+27),,,8,,,,,,2,2,1.000,,,,,,,,,18,\
9,9,1978-11-03,31-201,LAL,,NYK,W (+23),,,12,,,,,,3,4,.750,,,,,,,,,27,\
10,10,1978-11-05,31-203,LAL,,CLE,W (+10),,,11,,,,,,4,8,.500,,,,,,,,,26,\
11,11,1978-11-07,31-205,LAL,@,CHI,W (+1),,,7,,,,,,4,4,1.000,,,,,,,,,18,\
12,12,1978-11-08,31-206,LAL,@,IND,W (+2),,,9,,,,,,7,8,.875,,,,,,,,,25,\
13,13,1978-11-10,31-208,LAL,,KCK,W (+9),,,9,,,,,,7,12,.583,,,,,,,,,25,\
14,14,1978-11-12,31-210,LAL,,IND,W (+28),,,8,,,,,,6,9,.667,,,,,,,,,22,\
15,15,1978-11-14,31-212,LAL,@,MIL,W (+18),,,12,,,,,,6,8,.750,,,,,,,,,30,\
16,16,1978-11-15,31-213,LAL,@,DET,W (+7),,,10,,,,,,6,8,.750,,,,,,,,6,26,\
17,17,1978-11-17,31-215,LAL,,NOJ,W (+12),,,15,,,,,,2,5,.400,,,,,,,,,32,\
18,18,1978-11-19,31-217,LAL,,CHI,W (+9),,,10,,,,,,6,6,1.000,,,,,,,,,26,\
19,19,1978-11-22,31-220,LAL,@,HOU,W (+7),,,11,,,,,,6,9,.667,,,,,,,,,28,\
20,20,1978-11-24,31-222,LAL,@,WSB,L (-10),,,13,,,,,,1,1,1.000,,,,,,,,,27,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1978-11-25,31-223,LAL,@,ATL,L (-6),,,9,,,,,,9,10,.900,,,,,,,,,27,\
22,22,1978-11-28,31-226,LAL,,DET,L (-2),,,11,,,,,,5,5,1.000,,,,,,,,,27,\
23,23,1978-12-01,31-229,LAL,,PHO,W (+8),,,11,,,,,,12,12,1.000,,,,,,,,,34,\
24,24,1978-12-03,31-231,LAL,,NJN,L (-2),,,4,,,,,,8,10,.800,,,,,,,,,16,\
25,25,1978-12-05,31-233,LAL,@,NOJ,W (+12),,,10,,,,,,4,8,.500,,,,,,,,,24,\
26,26,1978-12-06,31-234,LAL,@,SAS,L (-1),,,7,,,,,,3,6,.500,,,,,,,,,17,\
27,27,1978-12-08,31-236,LAL,,MIL,W (+16),,,9,,,,,,5,6,.833,,,,,,,,,23,\
28,28,1978-12-10,31-238,LAL,,ATL,W (+2),,,9,,,,,,2,2,1.000,,,,,,,,,20,\
29,29,1978-12-12,31-240,LAL,@,POR,L (-2),,,12,,,,,,7,8,.875,,,,,,,,,31,\
30,30,1978-12-13,31-241,LAL,@,SEA,L (-10),,,14,,,,,,3,5,.600,,,,,,,,,31,\
31,31,1978-12-15,31-243,LAL,,SEA,W (+2),,,9,,,,,,4,9,.444,,,,,,,,,22,\
32,32,1978-12-16,31-244,LAL,@,PHO,L (-19),,,9,,,,,,1,1,1.000,,,,,,,,,19,\
33,33,1978-12-17,31-245,LAL,,PHI,L (-7),,,11,,,,,,3,4,.750,,,,,,,,,25,\
34,34,1978-12-22,31-250,LAL,,WSB,W (+12),,,9,,,,,,4,6,.667,,,,,,,,6,22,\
35,35,1978-12-26,31-254,LAL,,NOJ,L (-2),,,13,,,,,,9,10,.900,,,,,,,,,35,\
36,36,1978-12-27,31-255,LAL,@,GSW,W (+2),,,11,,,,,,5,5,1.000,,,,,,,,,27,\
37,37,1978-12-29,31-257,LAL,,POR,W (+23),,,11,,,,,,2,4,.500,,,,,,,,,24,\
38,38,1979-01-02,31-261,LAL,@,NOJ,L (-4),,,4,,,,,,15,17,.882,,,,,,,,,23,\
39,39,1979-01-03,31-262,LAL,@,ATL,W (+3),,,8,,,,,,2,5,.400,,,,,,,,,18,\
40,40,1979-01-06,31-265,LAL,@,HOU,L (-3),,,12,,,,,,6,9,.667,,,,,,,,,30,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1979-01-09,31-268,LAL,@,NYK,W (+12),,,12,,,,,,4,7,.571,,,,,,,,,28,\
42,42,1979-01-10,31-269,LAL,@,BOS,W (+10),,,10,,,,,,0,0,,,,,,,,,,20,\
43,43,1979-01-12,31-271,LAL,@,NJN,W (+1),,,9,,,,,,6,9,.667,,,,,,,,,24,\
44,44,1979-01-14,31-273,LAL,@,SEA,W (+9),,,12,,,,,,0,0,,,,,,,,,,24,\
45,45,1979-01-17,31-276,LAL,@,SDC,L (-2),,,5,,,,,,6,6,1.000,,,,,,,,,16,\
46,46,1979-01-19,31-278,LAL,,HOU,L (-1),,,16,,,,,,2,2,1.000,,,,,,,,,34,\
47,47,1979-01-21,31-280,LAL,,GSW,W (+6),,,9,,,,,,8,10,.800,,,,,,,,,26,\
48,48,1979-01-23,31-282,LAL,,NYK,W (+24),,,8,,,,,,3,3,1.000,,,,,,,,,19,\
49,49,1979-01-25,31-284,LAL,@,DET,L (-35),,,5,,,,,,3,5,.600,,,,,,,,,13,\
50,50,1979-01-26,31-285,LAL,@,DEN,L (-12),,,9,,,,,,1,2,.500,,,,,,,,,19,\
51,51,1979-01-28,31-287,LAL,,MIL,W (+2),,,15,,,,,,10,14,.714,,,,,,,,,40,\
52,52,1979-01-30,31-289,LAL,,NJN,W (+19),,,5,,,,,,9,10,.900,,,,,,,,,19,\
53,53,1979-02-06,31-296,LAL,,SAS,W (+8),,,14,,,,,,4,4,1.000,,,,,,,,,32,\
54,54,1979-02-07,31-297,LAL,@,GSW,W (+2),,,12,,,,,,2,2,1.000,,,,,,,,6,26,\
55,55,1979-02-09,31-299,LAL,,CLE,W (+3),,,9,,,,,,5,8,.625,,,,,,,,,23,\
56,56,1979-02-11,31-301,LAL,@,KCK,L (-1),,,9,,,,,,10,11,.909,,,,,,,,,28,\
57,57,1979-02-13,31-303,LAL,@,CLE,L (-6),,,11,,,,,,3,3,1.000,,,,,,,,,25,\
58,58,1979-02-16,31-306,LAL,@,MIL,L (-1),,,11,,,,,,4,4,1.000,,,,,,,,,26,\
59,59,1979-02-23,31-313,LAL,,BOS,W (+9),,,5,,,,,,0,0,,,,,,,,,,10,\
60,60,1979-02-25,31-315,LAL,,IND,W (+10),,,11,,,,,,1,2,.500,,,,,,,,,23,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1979-02-27,31-317,LAL,,KCK,W (+8),,,10,,,,,,5,7,.714,,,,,,,,,25,\
62,62,1979-03-02,31-320,LAL,,PHI,W (+15),,,7,,,,,,4,5,.800,,,,,,,,,18,\
63,63,1979-03-04,31-322,LAL,,DEN,L (-14),,,10,,,,,,0,3,.000,,,,,,,,,20,\
64,64,1979-03-09,31-327,LAL,,CHI,L (-10),,,8,,,,,,4,4,1.000,,,,,,,,,20,\
65,65,1979-03-11,31-329,LAL,@,BOS,L (-2),,,7,,,,,,8,9,.889,,,,,,,,,22,\
66,66,1979-03-13,31-331,LAL,@,WSB,L (-9),,,7,,,,,,3,4,.750,,,,,,,,,17,\
67,67,1979-03-14,31-332,LAL,@,SAS,L (-13),,,10,,,,,,0,0,,,,,,,,,,20,\
68,68,1979-03-16,31-334,LAL,,ATL,W (+1),,,11,,,,,,5,6,.833,,,,,,,,,27,\
69,69,1979-03-18,31-336,LAL,,BOS,W (+11),,,7,,,,,,2,3,.667,,,,,,,,,16,\
70,70,1979-03-21,31-339,LAL,,POR,L (-4),,,9,,,,,,10,13,.769,,,,,,,,,28,\
71,71,1979-03-23,31-341,LAL,,SDC,W (+37),,,10,,,,,,5,6,.833,,,,,,,,,25,\
72,72,1979-03-25,31-343,LAL,@,DEN,L (-10),,,9,,,,,,4,6,.667,,,,,,,,,22,\
73,73,1979-03-28,31-346,LAL,@,PHO,L (-6),,,12,,,,,,5,7,.714,,,,,,,,,29,\
74,74,1979-03-30,31-348,LAL,,DET,W (+11),,,7,,,,,,0,2,.000,,,,,,,,,14,\
75,75,1979-04-01,31-350,LAL,@,PHI,L (-1),,,15,,,,,,8,12,.667,,,,,,,,,38,\
76,76,1979-04-03,31-352,LAL,@,CHI,W (+2),,,13,,,,,,1,5,.200,,,,,,,,,27,\
77,77,1979-04-04,31-353,LAL,@,KCK,L (-4),,,11,,,,,,0,1,.000,,,,,,,,,22,\
78,78,1979-04-06,31-355,LAL,,SEA,L (-20),,,12,,,,,,3,4,.750,,,,,,,,,27,\
79,79,1979-04-07,31-356,LAL,@,POR,W (+1),,,8,,,,,,3,4,.750,,,,,,,,,19,\
80,80,1979-04-08,31-357,LAL,,PHO,W (+8),,,8,,,,,,0,0,,,,,,,,,,16,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1979-10-12,32-179,LAL,@,SDC,W (+1),,,13,,,0,,,3,4,.750,,,,,,,,,29,\
2,2,1979-10-16,32-183,LAL,,CHI,W (+9),,,7,,,0,,,7,10,.700,,,,,,,,,21,\
3,3,1979-10-17,32-184,LAL,@,SEA,L (-2),,,9,,,0,,,5,5,1.000,,,,,,,,,23,\
4,4,1979-10-19,32-186,LAL,,POR,L (-17),,,5,,,0,,,12,21,.571,,,,,,,,,22,\
5,5,1979-10-21,32-188,LAL,,SEA,W (+9),,,10,,,0,,,3,6,.500,,,,,,,,,23,\
6,6,1979-10-23,32-190,LAL,,UTA,W (+15),,,6,,,0,,,5,6,.833,,,,,,,,,17,\
7,7,1979-10-26,32-193,LAL,,KCK,W (+12),,,5,,,0,,,5,6,.833,,,,,,,,,15,\
8,8,1979-10-28,32-195,LAL,,GSW,W (+7),,,12,,,0,,,2,2,1.000,,,,,,,,,26,\
9,9,1979-10-30,32-197,LAL,@,CHI,W (+6),,,9,,,0,,,0,0,,,,,,,,,,18,\
10,10,1979-10-31,32-198,LAL,@,MIL,L (-4),,,9,,,0,,,5,6,.833,,,,,,,,,23,\
11,11,1979-11-02,32-200,LAL,,PHO,W (+2),,,11,,,0,,,4,8,.500,,,,,,,,,26,\
12,12,1979-11-06,32-204,LAL,,SDC,W (+15),,,9,,,0,,,8,8,1.000,,,,,,,,,26,\
13,13,1979-11-07,32-205,LAL,@,GSW,L (-17),,,5,,,0,,,6,8,.750,,,,,,,,,16,\
14,14,1979-11-09,32-207,LAL,,DEN,W (+4),,,12,,,0,,,1,2,.500,,,,,,,,,25,\
15,15,1979-11-11,32-209,LAL,,CLE,W (+14),,,8,,,0,,,0,0,,,,,,,,,,16,\
16,16,1979-11-13,32-211,LAL,@,SDC,W (+46),,,10,,,0,,,1,2,.500,,,,,,,,,21,\
17,17,1979-11-15,32-213,LAL,@,KCK,L (-6),,,10,,,0,,,6,8,.750,,,,,,,,,26,\
18,18,1979-11-16,32-214,LAL,@,DEN,W (+7),,,11,,,0,,,6,7,.857,,,,,,,,,28,\
19,19,1979-11-18,32-216,LAL,,IND,W (+23),,,5,,,0,,,4,4,1.000,,,,,,,,,14,\
20,20,1979-11-20,32-218,LAL,@,POR,L (-15),,,8,,,0,,,8,14,.571,,,,,,,,,24,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1979-11-21,32-219,LAL,@,SEA,L (-9),,,14,,,0,,,3,3,1.000,,,,,,,,,31,\
22,22,1979-11-23,32-221,LAL,@,PHO,L (-14),,,8,,,0,,,5,9,.556,,,,,,,,,21,\
23,23,1979-11-25,32-223,LAL,,KCK,W (+1),,,9,,,0,,,7,7,1.000,,,,,,,,,25,\
24,24,1979-11-27,32-225,LAL,@,UTA,W (+4),,,9,,,0,,,10,10,1.000,,,,,,,,,28,\
25,25,1979-11-30,32-228,LAL,,CHI,L (-7),,,10,,,0,,,6,9,.667,,,,,,,,,26,\
26,26,1979-12-02,32-230,LAL,,MIL,W (+13),,,9,,,0,,,1,1,1.000,,,,,,,,,19,\
27,27,1979-12-04,32-232,LAL,@,SAS,W (+6),,,11,,,0,,,7,8,.875,,,,,,,,,29,\
28,28,1979-12-05,32-233,LAL,@,HOU,W (+2),,,12,,,0,,,0,2,.000,,,,,,,,,24,\
29,29,1979-12-07,32-235,LAL,,SDC,L (-8),,,14,,,0,,,1,2,.500,,,,,,,,,29,\
30,30,1979-12-09,32-237,LAL,,DEN,W (+13),,,15,,,0,,,1,1,1.000,,,,,,,,,31,\
31,31,1979-12-14,32-242,LAL,,DET,W (+16),,,13,,,0,,,5,6,.833,,,,,,,,,31,\
32,32,1979-12-16,32-244,LAL,,SAS,W (+2),,,6,,,0,,,11,13,.846,,,,,,,,,23,\
33,33,1979-12-18,32-246,LAL,@,CHI,W (+11),,,15,,,0,,,9,11,.818,,,,,,,,,39,\
34,34,1979-12-19,32-247,LAL,@,ATL,L (-7),,,13,,,0,,,3,5,.600,,,,,,,,,29,\
35,35,1979-12-21,32-249,LAL,,GSW,W (+6),,,12,,,0,,,5,7,.714,,,,,,,,,29,\
36,36,1979-12-22,32-250,LAL,@,DEN,L (-2),,,10,,,0,,,0,0,,,,,,,,,,20,\
37,37,1979-12-23,32-251,LAL,,SEA,W (+5),,,12,,,0,,,8,8,1.000,,,,,,,,6,32,\
38,38,1979-12-26,32-254,LAL,@,KCK,L (-7),,,9,,,0,,,0,1,.000,,,,,,,,,18,\
39,39,1979-12-27,32-255,LAL,@,UTA,W (+8),,,11,,,0,,,9,11,.818,,,,,,,,,31,\
40,40,1979-12-28,32-256,LAL,,BOS,W (+18),,,4,,,0,,,7,8,.875,,,,,,,,,15,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1979-12-30,32-258,LAL,,PHO,W (+8),,,12,,,0,,,4,5,.800,,,,,,,,,28,\
42,42,1980-01-02,32-261,LAL,@,IND,W (+7),,,13,,,0,,,6,6,1.000,,,,,,,,,32,\
43,43,1980-01-06,32-265,LAL,@,MIL,L (-10),,,10,,,0,,,2,4,.500,,,,,,,,,22,\
44,44,1980-01-09,32-268,LAL,@,WSB,L (-2),,,10,,,0,,,4,6,.667,,,,,,,,,24,\
45,45,1980-01-11,32-270,LAL,@,DET,W (+23),,,10,,,0,,,3,4,.750,,,,,,,,,23,\
46,46,1980-01-13,32-272,LAL,@,BOS,W (+2),,,14,,,0,,,5,7,.714,,,,,,,,,33,\
47,47,1980-01-15,32-274,LAL,,UTA,W (+13),,,10,,,0,,,4,5,.800,,,,,,,,,24,\
48,48,1980-01-16,32-275,LAL,@,GSW,W (+1),,,10,,,0,,,5,9,.556,,,,,,,,,25,\
49,49,1980-01-18,32-277,LAL,,ATL,W (+6),,,13,,,0,,,2,2,1.000,,,,,,,,,28,\
50,50,1980-01-21,32-280,LAL,,NYK,W (+18),,,11,,,0,,,3,3,1.000,,,,,,,,,25,\
51,51,1980-01-24,32-283,LAL,@,POR,L (-8),,,13,,,0,,,4,6,.667,,,,,,,,,30,\
52,52,1980-01-25,32-284,LAL,,PHI,W (+21),,,7,,,0,,,10,14,.714,,,,,,,,,24,\
53,53,1980-01-27,32-286,LAL,,MIL,W (+10),,,10,,,0,,,3,4,.750,,,,,,,,,23,\
54,54,1980-01-29,32-288,LAL,@,CLE,L (-1),,,18,,,0,,,6,6,1.000,,,,,,,,6,42,\
55,55,1980-01-31,32-290,LAL,@,CHI,W (+10),,,12,,,0,,,3,3,1.000,,,,,,,,,27,\
56,56,1980-02-05,32-295,LAL,@,NYK,W (+11),,,11,,,0,,,0,0,,,,,,,,,,22,\
57,57,1980-02-08,32-298,LAL,@,NJN,W (+5),,,14,,,0,,,3,4,.750,,,,,,,,,31,\
58,58,1980-02-10,32-300,LAL,@,PHI,L (-1),,,15,,,0,,,8,12,.667,,,,,,,,,38,\
59,59,1980-02-13,32-303,LAL,,POR,W (+26),,,14,,,0,,,4,4,1.000,,,,,,,,,32,\
60,60,1980-02-15,32-305,LAL,,KCK,W (+14),,,10,,,0,,,6,10,.600,,,,,,,,,26,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1980-02-17,32-307,LAL,,WSB,W (+4),,,8,,,0,,,9,11,.818,,,,,,,,,25,\
62,62,1980-02-20,32-310,LAL,@,DEN,W (+13),,,12,,,0,,,4,5,.800,,,,,,,,,28,\
63,63,1980-02-22,32-312,LAL,,NJN,W (+22),,,10,,,0,,,2,2,1.000,,,,,,,,,22,\
64,64,1980-02-24,32-314,LAL,,HOU,W (+12),,,6,,,0,,,3,4,.750,,,,,,,,,15,\
65,65,1980-02-26,32-316,LAL,,SEA,W (+23),,,12,,,0,,,7,9,.778,,,,,,,,,31,\
66,66,1980-02-29,32-319,LAL,,MIL,L (-9),,,10,,,0,,,3,4,.750,,,,,,,,,23,\
67,67,1980-03-02,32-321,LAL,@,PHO,L (-8),,,10,,,0,,,6,8,.750,,,,,,,,,26,\
68,68,1980-03-04,32-323,LAL,@,MIL,W (+3),,,11,,,0,,,6,6,1.000,,,,,,,,,28,\
69,69,1980-03-05,32-324,LAL,@,KCK,W (+16),,,9,,,0,,,4,4,1.000,,,,,,,,,22,\
70,70,1980-03-07,32-326,LAL,,CHI,W (+2),,,12,,,0,,,7,10,.700,,,,,,,,,31,\
71,71,1980-03-09,32-328,LAL,@,POR,L (-21),,,10,,,0,,,6,8,.750,,,,,,,,,26,\
72,72,1980-03-11,32-330,LAL,@,SDC,W (+17),,,12,,,0,,,4,5,.800,,,,,,,,,28,\
73,73,1980-03-12,32-331,LAL,,POR,W (+8),,,13,,,0,,,4,4,1.000,,,,,,,,,30,\
74,74,1980-03-14,32-333,LAL,,DEN,W (+6),,,7,,,0,,,3,3,1.000,,,,,,,,,17,\
75,75,1980-03-16,32-335,LAL,,PHO,W (+22),,,11,,,0,,,8,9,.889,,,,,,,,,30,\
76,76,1980-03-18,32-337,LAL,,GSW,W (+13),,,8,,,0,,,7,8,.875,,,,,,,,,23,\
77,77,1980-03-19,32-338,LAL,@,PHO,L (-4),,,14,,,0,,,1,2,.500,,,,,,,,,29,\
78,78,1980-03-22,32-341,LAL,@,SEA,W (+5),,,10,,,0,,,2,2,1.000,,,,,,,,,22,\
79,79,1980-03-23,32-342,LAL,,UTA,W (+5),,,8,,,0,,,1,2,.500,,,,,,,,,17,\
80,80,1980-03-27,32-346,LAL,@,UTA,W (+2),,,5,,,0,,,0,0,,,,,,,,,,10,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1980-03-28,32-347,LAL,,SDC,W (+38),,,5,,,0,,,0,0,,,,,,,,,,10,\
82,82,1980-03-30,32-349,LAL,@,GSW,W (+2),,,5,,,0,,,3,5,.600,,,,,,,,,13,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1980-10-10,33-177,LAL,@,SEA,W (+1),,,6,,,0,,,3,5,.600,,,,,,,,,15,\
2,2,1980-10-12,33-179,LAL,,HOU,W (+11),,,5,,,0,,,0,0,,,,,,,,,,10,\
3,3,1980-10-19,33-186,LAL,,GSW,W (+18),,,12,,,0,,,5,7,.714,,,,,,,,,29,\
4,4,1980-10-21,33-188,LAL,@,POR,L (-4),,,8,,,0,,,9,10,.900,,,,,,,,,25,\
5,5,1980-10-24,33-191,LAL,,SEA,W (+6),,,12,,,0,,,2,3,.667,,,,,,,,,26,\
6,6,1980-10-25,33-192,LAL,@,UTA,W (+28),,,3,,,0,,,5,8,.625,,,,,,,,,11,\
7,7,1980-10-26,33-193,LAL,,SAS,L (-6),,,10,,,0,,,10,17,.588,,,,,,,,,30,\
8,8,1980-10-28,33-195,LAL,@,SDC,W (+30),,,7,,,0,,,2,2,1.000,,,,,,,,,16,\
9,9,1980-10-31,33-198,LAL,,CLE,W (+9),,,5,,,0,,,5,6,.833,,,,,,,,,15,\
10,10,1980-11-02,33-200,LAL,,DEN,L (-2),,,11,,,0,,,0,0,,,,,,,,,,22,\
11,11,1980-11-04,33-202,LAL,,POR,W (+1),,,12,,,0,,,4,4,1.000,,,,,,,,,28,\
12,12,1980-11-07,33-205,LAL,@,DAL,W (+24),,,7,,,0,,,4,4,1.000,,,,,,,,,18,\
