Player,Tm,2015-16,DRtg,ORtg
Stanley Johnson,Detroit Pistons,2841960,106,91
Manu Ginobili,San Antonio Spurs,2814000,98,107
Darrell Arthur,Denver Nuggets,2814000,108,104
Sonny Weems,Philadelphia 76ers,2800000,114,84
Kevin Seraphin,New York Knicks,2800000,105,86
Trey Burke,Utah Jazz,2658240,108,102
Noah Vonleh,Portland Trail Blazers,2637720,107,98
Tyler Zeller,Boston Celtics,2616975,105,106
Frank Kaminsky,Charlotte Hornets,2612500,105,105
C.J. McCollum,Portland Trail Blazers,2525160,110,108
Elfrid Payton,Orlando Magic,2505720,108,100
James Johnson,Toronto Raptors,2500000,106,101
Leandro Barbosa,Golden State Warriors,2500000,106,106
Joel Anthony,Detroit Pistons,2500000,99,136
Terrence Jones,Houston Rockets,2489530,109,104
Justise Winslow,Miami Heat,2481720,105,97
Shelvin Mack,Utah Jazz,2433333,106,100
Michael Carter-Williams,Milwaukee Bucks,2399040,107,96
Andrew Nicholson,Orlando Magic,2380594,107,106
Doug McDermott,Chicago Bulls,2380440,112,110
Myles Turner,Indiana Pacers,2357760,101,103
Evan Fournier,Orlando Magic,2288205,110,111
Donatas Motiejunas,Houston Rockets,2288205,110,98
Steven Adams,Oklahoma City Thunder,2279040,105,123
Jared Sullinger,Boston Celtics,2269260,100,103
Joe Ingles,Utah Jazz,2250000,105,105
Trey Lyles,Utah Jazz,2239800,105,102
Tony Wroten,Philadelphia 76ers,2179354,112,70
Ramon Sessions,Washington Wizards,2170465,109,109
Beno Udrih,Miami Heat,2170465,112,99
Steve Blake,Detroit Pistons,2170465,108,101
Kelly Olynyk,Boston Celtics,2165160,103,110
Zach LaVine,Minnesota Timberwolves,2148360,112,104
Kendall Marshall,Philadelphia 76ers,2144722,112,84
Devin Booker,Phoenix Suns,2127840,112,102
Miles Plumlee,Milwaukee Bucks,2109294,107,115
Gary Neal,Washington Wizards,2100000,109,107
Mo Williams,Cleveland Cavaliers,2100000,108,102
Jeremy Lin,Charlotte Hornets,2100000,106,102
Shabazz Muhammad,Minnesota Timberwolves,2056920,114,110
T.J. Warren,Phoenix Suns,2041080,110,112
Cameron Payne,Oklahoma City Thunder,2021520,105,104
Festus Ezeli,Golden State Warriors,2008748,101,114
DeJuan Blair,Phoenix Suns,2000000,105,85
Aaron Brooks,Chicago Bulls,2000000,109,99
Kent Bazemore,Atlanta Hawks,2000000,100,99
Giannis Antetokounmpo,Milwaukee Bucks,1953960,106,109
Adreian Payne,Minnesota Timberwolves,1938840,108,81
Kelly Oubre,Washington Wizards,1920240,106,93
Lucas Nogueira,Toronto Raptors,1842000,101,117
Jusuf Nurkic,Denver Nuggets,1842000,102,92
Terry Rozier,Boston Celtics,1824360,107,81
Dennis Schroder,Atlanta Hawks,1763400,103,97
James Young,Boston Celtics,1749840,106,84
Rashad Vaughn,Milwaukee Bucks,1733040,112,83
Ryan Kelly,Los Angeles Lakers,1724250,109,93
Joffrey Lauvergne,Denver Nuggets,1709720,109,111
Tyler Ennis,Milwaukee Bucks,1662360,111,99
Lou Amundson,New York Knicks,1650000,106,87
Lance Thomas,New York Knicks,1650000,112,107
Sergey Karasev,Brooklyn Nets,1599840,114,105
Gary Harris,Denver Nuggets,1587480,111,110
Jerian Grant,New York Knicks,1572360,108,97
Tony Snell,Chicago Bulls,1535880,109,93
Bruno Caboclo,Toronto Raptors,1524000,107,29
Delon Wright,Toronto Raptors,1509360,106,109
Wayne Ellington,Brooklyn Nets,1500000,113,101
Shane Larkin,Brooklyn Nets,1500000,110,100
Kendrick Perkins,New Orleans Pelicans,1499200,109,86
Rasual Butler,San Antonio Spurs,1499187,98,112
Matt Bonner,San Antonio Spurs,1499187,102,126
Caron Butler,Sacramento Kings,1499187,109,106
Ronnie Price,Phoenix Suns,1499187,108,102
Andre Miller,Minnesota Timberwolves,1499187,113,114
Tayshaun Prince,Minnesota Timberwolves,1499187,113,100
Amar'e Stoudemire,Miami Heat,1499187,101,111
Metta World Peace,Los Angeles Lakers,1499187,111,95
Jason Terry,Houston Rockets,1499187,112,108
Charlie Villanueva,Dallas Mavericks,1499187,105,92
David West,San Antonio Spurs,1499000,98,114
Richard Jefferson,Cleveland Cavaliers,1499000,107,112
James Jones,Cleveland Cavaliers,1499000,106,114
Gorgui Dieng,Minnesota Timberwolves,1474440,106,113
Mitch McGary,Oklahoma City Thunder,1463040,106,86
Justin Anderson,Dallas Mavericks,1449000,104,103
Mason Plumlee,Portland Trail Blazers,1415520,104,112
Jordan Adams,Memphis Grizzlies,1404600,90,84
Bobby Portis,Chicago Bulls,1391160,106,100
Alonzo Gee,New Orleans Pelicans,1375000,110,108
Andrea Bargnani,Brooklyn Nets,1362900,115,100
Solomon Hill,Indiana Pacers,1358880,103,110
Sasha Vujacic,New York Knicks,1356146,107,101
Gerald Green,Miami Heat,1356000,107,99
Rodney Hood,Utah Jazz,1348440,107,109
Rondae Hollis-Jefferson,Brooklyn Nets,1335480,105,107
Tim Hardaway,Atlanta Hawks,1304520,106,110
Nikola Jokic,Denver Nuggets,1300000,104,118
Sasha Kaun,Cleveland Cavaliers,1300000,100,100
Shabazz Napier,Orlando Magic,1294440,109,93
Tyus Jones,Minnesota Timberwolves,1282080,111,98
Luc Mbah a Moute,Los Angeles Clippers,1270964,106,101
Brandon Rush,Golden State Warriors,1270964,106,108
Reggie Bullock,Detroit Pistons,1252440,107,125
Clint Capela,Houston Rockets,1242720,104,114
Jarell Martin,Memphis Grizzlies,1230840,110,110
Andre Roberson,Oklahoma City Thunder,1210800,106,119
P.J. Hairston,Memphis Grizzlies,1201440,111,97
Boban Marjanovic,San Antonio Spurs,1200000,96,130
Jordan Mickey,Boston Celtics,1200000,99,94
Marcus Thornton,Houston Rockets,1186000,111,105
Tyler Hansbrough,Charlotte Hornets,1185784,104,113
Rudy Gobert,Utah Jazz,1175880,99,112
Toney Douglas,New Orleans Pelicans,1164858,109,108
Archie Goodwin,Phoenix Suns,1160160,111,95
C.J. Wilcox,Los Angeles Clippers,1159680,104,103
Larry Nance Jr.,Los Angeles Lakers,1155600,109,111
Damjan Rudez,Minnesota Timberwolves,1149500,116,102
R.J. Hunter,Boston Celtics,1148640,104,94
Matthew Dellavedova,Cleveland Cavaliers,1147280,108,109
Kyle Anderson,San Antonio Spurs,1142879,97,104
Josh Huestis,Oklahoma City Thunder,1140240,107,87
Chris McCullough,Brooklyn Nets,1140240,105,95
Kevon Looney,Golden State Warriors,1131960,105,125
Garrett Temple,Washington Wizards,1100602,108,104
Ish Smith,Philadelphia 76ers,1100602,110,104
Jeremy Evans,Dallas Mavericks,1100602,105,117
Wesley Johnson,Los Angeles Clippers,1100600,102,98
Cole Aldrich,Los Angeles Clippers,1100600,94,113
Chris Copeland,Orlando Magic,1100000,115,94
Luke Babbitt,New Orleans Pelicans,1100000,112,107
Richaun Holmes,Philadelphia 76ers,1050000,109,111
Jon Leuer,Phoenix Suns,1035000,106,107
James Anderson,Sacramento Kings,1015421,111,87
E'Twaun Moore,Chicago Bulls,1015421,109,105
Donald Sloan,Brooklyn Nets,1015421,113,110
Raul Neto,Utah Jazz,1000000,106,99
Robert Covington,Philadelphia 76ers,1000000,106,97
Joseph Young,Indiana Pacers,1000000,105,88
Rakeem Christmas,Indiana Pacers,1000000,112,204
Montrezl Harrell,Houston Rockets,1000000,110,119
Walter Tavares,Atlanta Hawks,1000000,99,101
Chris Johnson,Utah Jazz,981348,104,96
Quincy Acy,Sacramento Kings,981348,108,124
Jared Cunningham,Orlando Magic,981348,109,91
Hassan Whiteside,Miami Heat,981348,95,117
Robert Sacre,Los Angeles Lakers,981348,113,104
Pablo Prigioni,Los Angeles Clippers,981348,104,103
Thomas Robinson,Brooklyn Nets,981300,105,94
John Jenkins,Phoenix Suns,981000,112,107
Justin Holiday,Chicago Bulls,947300,106,102
Dewayne Dedmon,Orlando Magic,947278,102,117
Jeff Withey,Utah Jazz,947276,99,115
Ray McCallum,San Antonio Spurs,947276,111,102
Seth Curry,Sacramento Kings,947276,112,114
Allen Crabbe,Portland Trail Blazers,947276,110,114
Isaiah Canaan,Philadelphia 76ers,947276,113,102
Hollis Thompson,Philadelphia 76ers,947276,113,101
Ian Clark,Golden State Warriors,947276,106,102
Troy Daniels,Charlotte Hornets,947276,107,110
Willie Reed,Brooklyn Nets,947276,108,116
Mike Muscala,Atlanta Hawks,947276,102,111
Elton Brand,Philadelphia 76ers,890693,105,93
Damien Inglis,Milwaukee Bucks,855000,107,81
Eric Moreland,Sacramento Kings,845059,108,89
Tim Frazier,Portland Trail Blazers,845059,109,111
JaKarr Sampson,Philadelphia 76ers,845059,111,102
Jerami Grant,Philadelphia 76ers,845059,108,100
Joe Harris,Orlando Magic,845059,107,81
Devyn Marble,Orlando Magic,845059,106,81
Cleanthony Early,New York Knicks,845059,109,72
Langston Galloway,New York Knicks,845059,108,105
Jarnell Stokes,New Orleans Pelicans,845059,109,214
Johnny O'Bryant,Milwaukee Bucks,845059,111,96
Tyler Johnson,Miami Heat,845059,107,111
James Ennis,Memphis Grizzlies,845059,113,216
Russ Smith,Memphis Grizzlies,816482,104,83
JaMychal Green,Memphis Grizzlies,845059,107,105
Jordan Clarkson,Los Angeles Lakers,845059,114,103
Tarik Black,Los Angeles Lakers,845059,108,105
Shayne Whittington,Indiana Pacers,845059,103,84
James Michael McAdoo,Golden State Warriors,845059,104,112
Spencer Dinwiddie,Detroit Pistons,845059,109,97
Dwight Powell,Dallas Mavericks,845059,104,114
Cameron Bairstow,Chicago Bulls,845059,104,86
Markel Brown,Brooklyn Nets,845059,111,99
Glenn Robinson,Indiana Pacers,845000,105,102
Anthony Brown,Los Angeles Lakers,700000,114,88
Norman Powell,Toronto Raptors,650000,105,107
Jarell Eddie,Washington Wizards,561716,107,98
Jonathon Simmons,San Antonio Spurs,525093,102,106
Duje Dukan,Sacramento Kings,525093,111,82
Pat Connaughton,Portland Trail Blazers,525093,111,80
Luis Montero,Portland Trail Blazers,525093,114,63
Cliff Alexander,Portland Trail Blazers,525093,107,100
T.J. McConnell,Philadelphia 76ers,525093,108,101
Josh Richardson,Miami Heat,525093,106,112
Marcelo Huertas,Los Angeles Lakers,525093,114,95
Branden Dawson,Los Angeles Clippers,525093,110,113
Darrun Hilliard,Detroit Pistons,525093,108,103
Salah Mejri,Dallas Mavericks,525093,101,115
Aaron Harrison,Charlotte Hornets,525093,103,77
