,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
278,Los Angeles Lakers,108.0,Washington Wizards,104.0,2016,4.0
279,San Antonio Spurs,103.0,Memphis Grizzlies,83.0,2016,20.0
280,Oklahoma City Thunder,95.0,Miami Heat,97.0,2016,-2.0
281,Indiana Pacers,111.0,Portland Trail Blazers,123.0,2016,-12.0
282,Boston Celtics,114.0,Sacramento Kings,97.0,2016,17.0
283,Denver Nuggets,106.0,Toronto Raptors,105.0,2016,1.0
284,Orlando Magic,103.0,Utah Jazz,94.0,2016,9.0
285,Los Angeles Lakers,87.0,Atlanta Hawks,100.0,2016,-13.0
286,Houston Rockets,100.0,Dallas Mavericks,96.0,2016,4.0
287,Milwaukee Bucks,95.0,Detroit Pistons,102.0,2016,-7.0
288,Cleveland Cavaliers,108.0,New Orleans Pelicans,114.0,2016,-6.0
289,Brooklyn Nets,91.0,New York Knicks,108.0,2016,-17.0
290,Phoenix Suns,106.0,Washington Wizards,109.0,2016,-3.0
291,Charlotte Hornets,102.0,Chicago Bulls,96.0,2016,6.0
292,Sacramento Kings,113.0,Houston Rockets,120.0,2016,-7.0
293,Orlando Magic,101.0,Los Angeles Clippers,103.0,2016,-2.0
294,Cleveland Cavaliers,84.0,Miami Heat,99.0,2016,-15.0
295,New York Knicks,91.0,Milwaukee Bucks,106.0,2016,-15.0
296,Portland Trail Blazers,109.0,Minnesota Timberwolves,103.0,2016,6.0
297,Denver Nuggets,108.0,Philadelphia 76ers,105.0,2016,3.0
298,Boston Celtics,105.0,San Antonio Spurs,108.0,2016,-3.0
299,Golden State Warriors,112.0,Toronto Raptors,109.0,2016,3.0
300,Indiana Pacers,119.0,Utah Jazz,122.0,2016,-3.0
301,Golden State Warriors,114.0,Brooklyn Nets,98.0,2016,16.0
302,Los Angeles Lakers,91.0,Detroit Pistons,111.0,2016,-20.0
303,Phoenix Suns,93.0,Memphis Grizzlies,95.0,2016,-2.0
304,Sacramento Kings,95.0,Oklahoma City Thunder,98.0,2016,-3.0
305,Dallas Mavericks,116.0,Washington Wizards,104.0,2016,12.0
306,Phoenix Suns,103.0,Chicago Bulls,101.0,2016,2.0
307,Detroit Pistons,84.0,Charlotte Hornets,104.0,2016,-20.0
308,Washington Wizards,114.0,Miami Heat,103.0,2016,11.0
309,Portland Trail Blazers,88.0,Milwaukee Bucks,90.0,2016,-2.0
310,Los Angeles Clippers,110.0,Minnesota Timberwolves,106.0,2016,4.0
311,Boston Celtics,111.0,New Orleans Pelicans,93.0,2016,18.0
312,Dallas Mavericks,104.0,New York Knicks,97.0,2016,7.0
313,San Antonio Spurs,119.0,Philadelphia 76ers,68.0,2016,51.0
314,Los Angeles Lakers,93.0,Toronto Raptors,102.0,2016,-9.0
315,Houston Rockets,105.0,Brooklyn Nets,110.0,2016,-5.0
316,Portland Trail Blazers,100.0,Cleveland Cavaliers,105.0,2016,-5.0
317,Orlando Magic,85.0,Denver Nuggets,74.0,2016,11.0
318,Golden State Warriors,131.0,Indiana Pacers,123.0,2016,8.0
319,Oklahoma City Thunder,125.0,Memphis Grizzlies,88.0,2016,37.0
320,Utah Jazz,106.0,Sacramento Kings,114.0,2016,-8.0
321,Chicago Bulls,100.0,Boston Celtics,105.0,2016,-5.0
322,Miami Heat,81.0,Charlotte Hornets,99.0,2016,-18.0
323,Atlanta Hawks,98.0,Dallas Mavericks,95.0,2016,3.0
324,Memphis Grizzlies,93.0,Detroit Pistons,92.0,2016,1.0
325,Los Angeles Clippers,109.0,Milwaukee Bucks,95.0,2016,14.0
326,Los Angeles Lakers,122.0,Minnesota Timberwolves,123.0,2016,-1.0
327,Orlando Magic,104.0,Phoenix Suns,107.0,2016,-3.0
328,San Antonio Spurs,94.0,Toronto Raptors,97.0,2016,-3.0
329,New York Knicks,85.0,Utah Jazz,106.0,2016,-21.0
330,Houston Rockets,109.0,Washington Wizards,103.0,2016,6.0
331,Philadelphia 76ers,91.0,Brooklyn Nets,100.0,2016,-9.0
332,Los Angeles Clippers,80.0,Chicago Bulls,83.0,2016,-3.0
333,Atlanta Hawks,94.0,Oklahoma City Thunder,107.0,2016,-13.0
334,New York Knicks,97.0,Sacramento Kings,99.0,2016,-2.0
335,Golden State Warriors,124.0,Boston Celtics,119.0,2016,5.0
336,Minnesota Timberwolves,108.0,Denver Nuggets,111.0,2016,-3.0
337,Miami Heat,83.0,Indiana Pacers,96.0,2016,-13.0
338,Charlotte Hornets,123.0,Memphis Grizzlies,99.0,2016,24.0
339,Washington Wizards,105.0,New Orleans Pelicans,107.0,2016,-2.0
340,Cleveland Cavaliers,111.0,Orlando Magic,76.0,2016,35.0
341,Detroit Pistons,107.0,Philadelphia 76ers,95.0,2016,12.0
342,Portland Trail Blazers,106.0,Phoenix Suns,96.0,2016,10.0
343,Los Angeles Lakers,87.0,San Antonio Spurs,109.0,2016,-22.0
344,Milwaukee Bucks,83.0,Toronto Raptors,90.0,2016,-7.0
345,Oklahoma City Thunder,94.0,Utah Jazz,90.0,2016,4.0
346,San Antonio Spurs,103.0,Atlanta Hawks,78.0,2016,25.0
347,Los Angeles Clippers,105.0,Brooklyn Nets,100.0,2016,5.0
