,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
1135,Philadelphia 76ers,91.0,Charlotte Hornets,100.0,2016,-9.0
1136,Dallas Mavericks,98.0,Detroit Pistons,89.0,2016,9.0
1137,Boston Celtics,109.0,Golden State Warriors,106.0,2016,3.0
1138,Toronto Raptors,99.0,Memphis Grizzlies,95.0,2016,4.0
1139,Orlando Magic,110.0,Milwaukee Bucks,113.0,2016,-3.0
1140,Brooklyn Nets,91.0,New York Knicks,105.0,2016,-14.0
1141,Washington Wizards,106.0,Phoenix Suns,99.0,2016,7.0
1142,Miami Heat,112.0,Sacramento Kings,106.0,2016,6.0
1143,Minnesota Timberwolves,85.0,Utah Jazz,98.0,2016,-13.0
1144,Detroit Pistons,94.0,Chicago Bulls,90.0,2016,4.0
1145,Sacramento Kings,115.0,Denver Nuggets,106.0,2016,9.0
1146,Indiana Pacers,115.0,Philadelphia 76ers,102.0,2016,13.0
1147,Miami Heat,93.0,Portland Trail Blazers,110.0,2016,-17.0
1148,Toronto Raptors,95.0,San Antonio Spurs,102.0,2016,-7.0
1149,New Orleans Pelicans,106.0,Brooklyn Nets,87.0,2016,19.0
1150,Charlotte Hornets,103.0,Cleveland Cavaliers,112.0,2016,-9.0
1151,Portland Trail Blazers,111.0,Golden State Warriors,136.0,2016,-25.0
1152,Oklahoma City Thunder,110.0,Houston Rockets,118.0,2016,-8.0
1153,Washington Wizards,109.0,Los Angeles Clippers,114.0,2016,-5.0
1154,Boston Celtics,107.0,Los Angeles Lakers,100.0,2016,7.0
1155,Chicago Bulls,102.0,Milwaukee Bucks,98.0,2016,4.0
1156,Dallas Mavericks,88.0,Minnesota Timberwolves,78.0,2016,10.0
1157,Indiana Pacers,92.0,New York Knicks,87.0,2016,5.0
1158,Memphis Grizzlies,107.0,Orlando Magic,119.0,2016,-12.0
1159,Utah Jazz,101.0,Phoenix Suns,86.0,2016,15.0
1160,Phoenix Suns,90.0,Atlanta Hawks,103.0,2016,-13.0
1161,Oklahoma City Thunder,124.0,Denver Nuggets,102.0,2016,22.0
1162,Minnesota Timberwolves,124.0,Golden State Warriors,117.0,2016,7.0
1163,Los Angeles Lakers,81.0,Los Angeles Clippers,103.0,2016,-22.0
1164,Chicago Bulls,92.0,Memphis Grizzlies,108.0,2016,-16.0
1165,Detroit Pistons,89.0,Miami Heat,107.0,2016,-18.0
1166,Cleveland Cavaliers,109.0,Milwaukee Bucks,80.0,2016,29.0
1167,New Orleans Pelicans,93.0,Philadelphia 76ers,107.0,2016,-14.0
1168,Portland Trail Blazers,115.0,Sacramento Kings,107.0,2016,8.0
1169,Charlotte Hornets,90.0,Toronto Raptors,96.0,2016,-6.0
1170,San Antonio Spurs,88.0,Utah Jazz,86.0,2016,2.0
1171,New Orleans Pelicans,97.0,Boston Celtics,104.0,2016,-7.0
1172,Houston Rockets,86.0,Dallas Mavericks,88.0,2016,-2.0
1173,Cleveland Cavaliers,109.0,Indiana Pacers,123.0,2016,-14.0
1174,Los Angeles Clippers,91.0,Los Angeles Lakers,81.0,2016,10.0
1175,Charlotte Hornets,111.0,New York Knicks,97.0,2016,14.0
1176,Detroit Pistons,108.0,Orlando Magic,104.0,2016,4.0
1177,Oklahoma City Thunder,115.0,Portland Trail Blazers,120.0,2016,-5.0
1178,Brooklyn Nets,103.0,Washington Wizards,121.0,2016,-18.0
1179,Toronto Raptors,87.0,Atlanta Hawks,95.0,2016,-8.0
1180,San Antonio Spurs,101.0,Golden State Warriors,112.0,2016,-11.0
1181,Phoenix Suns,124.0,Houston Rockets,115.0,2016,9.0
1182,Chicago Bulls,98.0,Miami Heat,106.0,2016,-8.0
1183,Minnesota Timberwolves,105.0,Sacramento Kings,97.0,2016,8.0
1184,Milwaukee Bucks,109.0,Boston Celtics,124.0,2016,-15.0
1185,Brooklyn Nets,99.0,Charlotte Hornets,113.0,2016,-14.0
1186,Memphis Grizzlies,93.0,Dallas Mavericks,103.0,2016,-10.0
1187,San Antonio Spurs,98.0,Denver Nuggets,102.0,2016,-4.0
1188,Washington Wizards,99.0,Detroit Pistons,112.0,2016,-13.0
1189,Los Angeles Lakers,102.0,New Orleans Pelicans,110.0,2016,-8.0
1190,Miami Heat,109.0,Orlando Magic,112.0,2016,-3.0
1191,New York Knicks,109.0,Philadelphia 76ers,102.0,2016,7.0
1192,Indiana Pacers,98.0,Toronto Raptors,111.0,2016,-13.0
1193,Los Angeles Clippers,102.0,Utah Jazz,99.0,2016,3.0
1194,Boston Celtics,107.0,Atlanta Hawks,118.0,2016,-11.0
1195,Cleveland Cavaliers,102.0,Chicago Bulls,105.0,2016,-3.0
1196,Golden State Warriors,100.0,Memphis Grizzlies,99.0,2016,1.0
1197,Phoenix Suns,121.0,New Orleans Pelicans,100.0,2016,21.0
1198,Minnesota Timberwolves,106.0,Portland Trail Blazers,105.0,2016,1.0
1199,Oklahoma City Thunder,112.0,Sacramento Kings,114.0,2016,-2.0
1200,Utah Jazz,100.0,Denver Nuggets,84.0,2016,16.0
1201,Los Angeles Lakers,110.0,Houston Rockets,130.0,2016,-20.0
1202,Brooklyn Nets,105.0,Indiana Pacers,129.0,2016,-24.0
1203,Dallas Mavericks,91.0,Los Angeles Clippers,98.0,2016,-7.0
1204,Orlando Magic,96.0,Miami Heat,118.0,2016,-22.0
1205,Toronto Raptors,93.0,New York Knicks,89.0,2016,4.0
1206,Milwaukee Bucks,109.0,Philadelphia 76ers,108.0,2016,1.0
1207,Golden State Warriors,92.0,San Antonio Spurs,86.0,2016,6.0
1208,Charlotte Hornets,98.0,Washington Wizards,113.0,2016,-15.0
1209,Charlotte Hornets,114.0,Boston Celtics,100.0,2016,14.0
1210,Washington Wizards,120.0,Brooklyn Nets,111.0,2016,9.0
1211,Atlanta Hawks,94.0,Cleveland Cavaliers,109.0,2016,-15.0
1212,Houston Rockets,129.0,Minnesota Timberwolves,105.0,2016,24.0
1213,Chicago Bulls,121.0,New Orleans Pelicans,116.0,2016,5.0
1214,Los Angeles Lakers,79.0,Oklahoma City Thunder,112.0,2016,-33.0
1215,Milwaukee Bucks,98.0,Orlando Magic,107.0,2016,-9.0
1216,Sacramento Kings,105.0,Phoenix Suns,101.0,2016,4.0
1217,Dallas Mavericks,101.0,Utah Jazz,92.0,2016,9.0
1218,Miami Heat,99.0,Detroit Pistons,93.0,2016,6.0
1219,New York Knicks,90.0,Indiana Pacers,102.0,2016,-12.0
1220,Memphis Grizzlies,84.0,Los Angeles Clippers,110.0,2016,-26.0
1221,Oklahoma City Thunder,98.0,San Antonio Spurs,102.0,2016,-4.0
1222,Philadelphia 76ers,98.0,Toronto Raptors,122.0,2016,-24.0
1223,Miami Heat,88.0,Boston Celtics,98.0,2016,-10.0
1224,Toronto Raptors,103.0,Brooklyn Nets,96.0,2016,7.0
1225,Philadelphia 76ers,105.0,Chicago Bulls,115.0,2016,-10.0
1226,Orlando Magic,103.0,Charlotte Hornets,117.0,2016,-14.0
1227,Detroit Pistons,112.0,Cleveland Cavaliers,110.0,2016,2.0
1228,San Antonio Spurs,96.0,Dallas Mavericks,91.0,2016,5.0
1229,Memphis Grizzlies,104.0,Golden State Warriors,125.0,2016,-21.0
1230,Sacramento Kings,81.0,Houston Rockets,116.0,2016,-35.0
1231,Utah Jazz,96.0,Los Angeles Lakers,101.0,2016,-5.0
1232,Indiana Pacers,97.0,Milwaukee Bucks,92.0,2016,5.0
1233,New Orleans Pelicans,109.0,Minnesota Timberwolves,144.0,2016,-35.0
1234,Los Angeles Clippers,105.0,Phoenix Suns,114.0,2016,-9.0
1235,Denver Nuggets,99.0,Portland Trail Blazers,107.0,2016,-8.0
1236,Atlanta Hawks,98.0,Washington Wizards,109.0,2016,-11.0
